Month,Rice,Wheat,Barley,Corn,Peanuts,Sugar,Coconut-oil,Palm-oil,Sunflower-oil,Chicken,Beef,Pork,Fish,Tea,Coffee
Sep-96,0.33,0.18,0.1,0.15,0.93,0.0057,0.72,0.55,2.04,0.0324,0.0384,1.6821,3.76,1.45,1.64
Oct-96,0.31,0.18,0.1,0.13,0.92,0.0055,0.72,0.53,1.69,0.032,0.0395,1.6885,3.89,1.49,1.61
Nov-96,0.32,0.18,0.1,0.12,0.9,0.0053,0.76,0.55,1.32,0.032,0.0399,1.6698,4.13,1.5,1.55
Dec-96,0.32,0.18,0.1,0.12,0.9,0.0053,0.78,0.56,1.18,0.0317,0.0403,1.6868,4.21,1.51,1.39
Jan-97,0.36,0.18,0.1,0.12,0.89,0.0053,0.77,0.57,0.95,0.0313,0.0397,1.6446,4.31,1.57,1.48
Feb-97,0.35,0.17,0.1,0.12,0.87,0.0053,0.77,0.58,0.84,0.0304,0.0414,1.5979,3.93,1.61,1.66
Mar-97,0.32,0.18,0.1,0.13,0.91,0.0053,0.74,0.56,0.76,0.03,0.0454,1.5203,3.74,1.79,1.77
Apr-97,0.3,0.18,0.1,0.12,0.92,0.0055,0.71,0.56,0.82,0.0298,0.0443,1.6945,3.68,1.98,1.71
May-97,0.32,0.17,0.1,0.12,0.95,0.0053,0.65,0.55,0.8,0.0295,0.0421,1.7972,3.63,1.99,2.06
Jun-97,0.32,0.15,0.09,0.11,0.97,0.0055,0.64,0.53,0.76,0.0295,0.039,1.8336,3.57,1.93,1.96
Jul-97,0.32,0.14,0.09,0.11,0.99,0.0055,0.6,0.5,0.84,0.0298,0.0397,1.8329,3.66,2.01,1.76
Aug-97,0.28,0.15,0.09,0.11,0.92,0.0057,0.57,0.5,0.94,0.0304,0.0403,1.7066,3.6,2.21,1.64
Sep-97,0.27,0.15,0.09,0.11,0.96,0.0055,0.62,0.52,0.91,0.0306,0.039,1.5578,3.64,2.08,1.66
Oct-97,0.27,0.15,0.1,0.12,1.05,0.0055,0.63,0.55,0.8,0.0289,0.0388,1.4539,3.74,2.23,1.64
Nov-97,0.25,0.15,0.1,0.12,1.2,0.0057,0.62,0.56,0.82,0.028,0.0406,1.3896,3.62,2.38,1.68
Dec-97,0.27,0.14,0.1,0.11,1.22,0.006,0.59,0.57,0.81,0.0271,0.041,1.2461,3.58,2.4,1.82
Jan-98,0.29,0.14,0.1,0.11,1.15,0.0055,0.56,0.62,0.85,0.0269,0.0403,1.1147,3.47,2.55,1.84
Feb-98,0.3,0.14,0.09,0.11,1.08,0.0053,0.56,0.66,0.92,0.0271,0.0399,1.1107,3.42,2.81,1.84
Mar-98,0.3,0.14,0.09,0.11,0.99,0.0049,0.58,0.67,0.99,0.0276,0.0397,1.1078,3.51,2.29,1.81
Apr-98,0.31,0.13,0.09,0.11,0.94,0.0046,0.62,0.69,0.97,0.028,0.0397,1.1188,3.83,1.95,1.96
May-98,0.32,0.13,0.09,0.11,0.93,0.0044,0.72,0.7,0.95,0.0287,0.039,1.3521,3.95,1.56,2
Jun-98,0.33,0.12,0.09,0.1,0.99,0.004,0.65,0.63,0.95,0.0304,0.0377,1.3327,4.17,1.56,1.82
Jul-98,0.32,0.12,0.09,0.1,1.03,0.0042,0.67,0.66,0.92,0.0326,0.0368,1.1539,3.83,1.68,1.7
Aug-98,0.32,0.11,0.07,0.09,1.09,0.0042,0.67,0.67,0.91,0.0344,0.037,1.0816,3.61,1.7,1.75
Sep-98,0.32,0.11,0.07,0.09,0.96,0.0035,0.65,0.7,0.89,0.0346,0.0364,0.9024,3.64,1.75,1.76
Oct-98,0.3,0.13,0.07,0.1,0.96,0.0035,0.7,0.69,0.94,0.0335,0.0362,0.8508,3.76,1.74,1.77
Nov-98,0.27,0.13,0.08,0.1,0.89,0.004,0.75,0.68,1.07,0.0326,0.0368,0.5221,3.77,1.59,1.77
Dec-98,0.28,0.13,0.08,0.1,0.86,0.004,0.77,0.66,1.11,0.0315,0.037,0.4211,3.66,1.61,1.85
Jan-99,0.3,0.13,0.08,0.1,0.84,0.004,0.76,0.63,1.28,0.0306,0.0377,0.7685,3.71,1.75,1.81
Feb-99,0.28,0.12,0.08,0.09,0.82,0.0033,0.74,0.56,1.44,0.0298,0.0397,0.8232,3.57,1.77,1.75
Mar-99,0.26,0.12,0.08,0.1,0.82,0.0029,0.7,0.5,1.45,0.0287,0.0397,0.7734,3.56,1.89,1.62
Apr-99,0.24,0.11,0.08,0.09,0.82,0.0026,0.83,0.51,1.49,0.028,0.0384,0.8697,3.69,1.87,1.53
May-99,0.24,0.11,0.08,0.09,0.84,0.0029,0.87,0.48,1.46,0.0289,0.0388,1.0748,3.65,1.71,1.5
Jun-99,0.25,0.11,0.08,0.09,0.87,0.0029,0.8,0.39,1.39,0.0295,0.0388,1.0124,3.47,1.68,1.45
Jul-99,0.26,0.1,0.08,0.08,0.84,0.0026,0.66,0.32,1.4,0.0298,0.0397,0.9773,3.41,1.67,1.36
Aug-99,0.24,0.11,0.08,0.09,0.8,0.0029,0.68,0.35,1.41,0.0293,0.0456,1.174,3.48,1.66,1.39
Sep-99,0.23,0.11,0.07,0.09,0.8,0.0033,0.7,0.39,1.46,0.0295,0.0421,1.0737,3.46,1.98,1.31
Oct-99,0.22,0.11,0.07,0.09,0.86,0.0033,0.69,0.38,1.43,0.0284,0.0412,1.0271,3.51,2,1.29
Nov-99,0.23,0.11,0.07,0.09,0.86,0.0031,0.7,0.37,1.33,0.0284,0.0428,1.0507,3.51,1.81,1.39
Dec-99,0.23,0.1,0.07,0.09,0.85,0.0029,0.7,0.35,1.3,0.0284,0.0432,1.123,3.81,1.83,1.47
Jan-00,0.24,0.11,0.07,0.09,0.85,0.0026,0.65,0.35,1.21,0.0282,0.0428,1.1378,3.87,1.88,1.17
Feb-00,0.24,0.11,0.07,0.1,0.83,0.0026,0.59,0.33,1.25,0.028,0.0434,1.2106,3.9,2.11,1.08
Mar-00,0.23,0.11,0.07,0.1,0.82,0.0024,0.55,0.35,1.19,0.0278,0.0439,1.2734,3.94,2.06,1.02
Apr-00,0.21,0.11,0.08,0.1,0.81,0.0029,0.55,0.37,1.21,0.0278,0.0437,1.476,4.01,2.03,0.98
May-00,0.2,0.11,0.08,0.1,0.81,0.0033,0.48,0.32,1.25,0.028,0.0441,1.5247,4.05,2.01,0.98
Jun-00,0.2,0.11,0.08,0.08,0.79,0.004,0.44,0.32,1.27,0.0287,0.0428,1.5322,4.01,2.05,0.94
Jul-00,0.19,0.11,0.08,0.08,0.81,0.0046,0.4,0.31,1.32,0.0291,0.0423,1.4681,4.06,2.11,0.9
Aug-00,0.19,0.11,0.08,0.08,0.8,0.0051,0.37,0.31,1.27,0.0293,0.0421,1.3115,3.83,2.1,0.84
Sep-00,0.18,0.12,0.07,0.08,0.82,0.0049,0.33,0.29,1.19,0.03,0.0401,1.2602,3.24,2.11,0.86
Oct-00,0.19,0.13,0.08,0.09,0.84,0.0053,0.34,0.26,1.26,0.03,0.0403,1.2101,2.94,1.97,0.8
Nov-00,0.18,0.13,0.08,0.09,0.92,0.0049,0.37,0.26,1.3,0.03,0.0425,1.0732,2.87,2.01,0.72
Dec-00,0.18,0.13,0.09,0.1,1.03,0.0049,0.33,0.26,1.33,0.03,0.0428,1.2073,3.02,1.92,0.67
Jan-01,0.18,0.13,0.09,0.1,0.95,0.0051,0.32,0.25,1.25,0.03,0.0428,1.1107,3.05,1.87,0.71
Feb-01,0.18,0.13,0.08,0.09,0.91,0.0049,0.28,0.24,1.24,0.03,0.0425,1.1861,3.02,1.72,0.7
Mar-01,0.18,0.13,0.08,0.09,0.89,0.0044,0.29,0.25,1.27,0.0302,0.0443,1.3913,3.1,1.67,0.67
Apr-01,0.16,0.13,0.08,0.09,0.88,0.0042,0.29,0.25,1.27,0.0302,0.0439,1.4248,3.03,1.44,0.63
May-01,0.16,0.13,0.09,0.08,0.87,0.0046,0.3,0.23,1.27,0.0306,0.0445,1.5567,2.97,1.46,0.65
Jun-01,0.17,0.13,0.1,0.08,0.87,0.0044,0.32,0.26,1.22,0.0309,0.0459,1.6076,2.89,1.43,0.64
Jul-01,0.17,0.12,0.1,0.09,0.83,0.0042,0.36,0.33,1.2,0.0313,0.0478,1.6087,2.83,1.54,0.6
Aug-01,0.17,0.12,0.1,0.09,0.83,0.004,0.36,0.36,1.23,0.032,0.0494,1.5772,2.92,1.48,0.57
Sep-01,0.17,0.12,0.1,0.09,0.83,0.0037,0.32,0.31,1.23,0.0324,0.0522,1.4094,2.92,1.39,0.54
Oct-01,0.17,0.12,0.1,0.09,0.74,0.0033,0.31,0.28,1.18,0.032,0.0503,1.263,2.79,1.38,0.51
Nov-01,0.17,0.13,0.1,0.09,0.72,0.0037,0.33,0.32,0.96,0.0313,0.0507,1.0714,2.62,1.4,0.52
Dec-01,0.18,0.12,0.1,0.09,0.68,0.0037,0.34,0.34,0.96,0.0306,0.0489,1.0452,2.56,1.43,0.54
Jan-02,0.19,0.13,0.1,0.09,0.69,0.0037,0.36,0.34,0.99,0.0306,0.0492,1.1962,2.52,1.46,0.5
Feb-02,0.2,0.12,0.1,0.09,0.69,0.0031,0.38,0.33,1,0.0306,0.05,1.2156,2.52,1.51,0.54
Mar-02,0.19,0.12,0.1,0.09,0.63,0.0033,0.37,0.34,0.98,0.0304,0.0529,1.1199,2.68,1.54,0.64
Apr-02,0.19,0.12,0.1,0.09,0.62,0.0033,0.41,0.35,0.92,0.0304,0.0505,0.9872,2.81,1.49,0.65
May-02,0.2,0.12,0.1,0.09,0.62,0.0029,0.42,0.37,0.94,0.0309,0.047,1.0357,3.02,1.39,0.62
Jun-02,0.2,0.13,0.1,0.09,0.7,0.0029,0.45,0.41,0.96,0.0311,0.0456,1.1114,3.05,1.45,0.63
Jul-02,0.2,0.15,0.11,0.1,0.72,0.0031,0.44,0.41,0.94,0.0313,0.0472,1.2097,3.06,1.48,0.63
Aug-02,0.19,0.16,0.12,0.11,0.72,0.0031,0.44,0.42,0.94,0.0311,0.0465,1.0166,3.02,1.5,0.61
Sep-02,0.19,0.19,0.12,0.11,0.88,0.0033,0.41,0.4,0.93,0.0311,0.0452,0.8082,3.13,1.56,0.71
Oct-02,0.19,0.19,0.12,0.11,0.88,0.0037,0.43,0.41,0.89,0.0306,0.0423,0.9438,3.14,1.55,0.73
Nov-02,0.19,0.18,0.12,0.11,0.94,0.0037,0.46,0.44,0.83,0.03,0.0397,0.8951,3.15,1.52,0.84
Dec-02,0.19,0.16,0.12,0.11,0.93,0.004,0.48,0.46,0.82,0.03,0.0408,0.9628,3.16,1.47,0.84
Jan-03,0.2,0.15,0.11,0.11,0.97,0.004,0.49,0.46,0.87,0.0302,0.0414,1.0269,3.34,1.51,0.91
Feb-03,0.2,0.15,0.11,0.11,0.98,0.0044,0.48,0.45,0.89,0.0306,0.0408,1.0617,3.25,1.43,0.9
Mar-03,0.2,0.14,0.11,0.11,1,0.004,0.44,0.43,0.88,0.0311,0.0408,1.0767,3.18,1.51,0.82
Apr-03,0.2,0.14,0.11,0.11,1,0.0037,0.42,0.41,0.87,0.0309,0.0401,1.086,3.18,1.5,0.82
May-03,0.2,0.14,0.12,0.11,1,0.0035,0.44,0.42,0.82,0.0313,0.0386,1.3005,3.25,1.52,0.83
Jun-03,0.2,0.13,0.11,0.11,1,0.0033,0.46,0.43,0.8,0.032,0.0381,1.4288,2.69,1.5,0.75
Jul-03,0.2,0.13,0.1,0.1,0.98,0.0033,0.44,0.41,0.83,0.0328,0.0395,1.3426,2.4,1.55,0.78
Aug-03,0.2,0.15,0.09,0.1,0.94,0.0033,0.42,0.4,0.92,0.0333,0.0443,1.2498,2.5,1.55,0.8
Sep-03,0.2,0.15,0.09,0.1,0.93,0.0029,0.43,0.42,0.93,0.0337,0.0472,1.2489,2.88,1.58,0.82
Oct-03,0.2,0.15,0.1,0.11,0.93,0.0029,0.49,0.48,0.92,0.0333,0.0478,1.1583,3.16,1.67,0.79
Nov-03,0.19,0.16,0.1,0.11,0.97,0.0029,0.52,0.5,0.89,0.0333,0.0538,1.0734,2.96,1.62,0.75
Dec-03,0.2,0.17,0.1,0.11,1,0.0031,0.58,0.51,0.9,0.0335,0.0516,1.0732,3.12,1.59,0.79
Jan-04,0.21,0.17,0.1,0.12,1,0.0029,0.58,0.5,0.96,0.0337,0.0525,1.1671,3.23,1.63,0.88
Feb-04,0.21,0.16,0.1,0.12,1,0.0029,0.64,0.54,0.92,0.0348,0.0483,1.3455,3.32,1.65,0.82
Mar-04,0.24,0.17,0.1,0.13,1,0.0031,0.68,0.55,0.9,0.0355,0.0472,1.4407,3.45,1.59,0.81
Apr-04,0.24,0.17,0.11,0.13,0.97,0.0033,0.74,0.54,0.89,0.0364,0.0496,1.4392,3.61,1.54,0.8
May-04,0.23,0.16,0.11,0.13,0.97,0.0031,0.72,0.51,0.9,0.0373,0.0558,1.7388,3.48,1.52,0.81
Jun-04,0.23,0.15,0.11,0.12,0.97,0.0033,0.66,0.44,0.86,0.0388,0.0567,1.7275,3.21,1.51,0.88
Jul-04,0.23,0.15,0.1,0.1,0.97,0.0037,0.67,0.43,0.88,0.0392,0.0591,1.7342,3.11,1.53,0.79
Aug-04,0.24,0.14,0.09,0.1,0.97,0.0037,0.63,0.43,0.88,0.039,0.0619,1.6762,3.35,1.57,0.75
Sep-04,0.24,0.15,0.09,0.1,0.96,0.0037,0.66,0.44,0.86,0.0379,0.0611,1.6508,3.26,1.64,0.75
Oct-04,0.24,0.15,0.09,0.09,0.96,0.0042,0.64,0.43,0.83,0.037,0.058,1.6028,3.19,1.51,0.7
Nov-04,0.26,0.16,0.1,0.09,0.96,0.004,0.66,0.43,0.83,0.0364,0.0575,1.6713,3.23,1.45,0.72
Dec-04,0.28,0.15,0.09,0.1,0.95,0.004,0.65,0.42,0.87,0.0357,0.0571,1.5913,3.67,1.51,0.81
Jan-05,0.29,0.15,0.09,0.1,0.94,0.0042,0.65,0.4,0.87,0.0357,0.056,1.5891,3.69,1.51,0.81
Feb-05,0.29,0.15,0.09,0.09,0.94,0.0044,0.65,0.4,0.87,0.0359,0.0571,1.5263,3.89,1.48,0.91
Mar-05,0.29,0.15,0.09,0.1,0.92,0.0044,0.71,0.44,0.87,0.0359,0.0582,1.5311,3.98,1.49,1.09
Apr-05,0.3,0.14,0.09,0.1,0.93,0.0042,0.68,0.43,0.87,0.0359,0.0575,1.5212,3.98,1.47,1.12
May-05,0.29,0.14,0.09,0.1,0.93,0.0042,0.65,0.42,0.87,0.0362,0.0591,1.6517,4,1.41,1.24
Jun-05,0.28,0.14,0.09,0.1,0.88,0.0044,0.64,0.42,0.84,0.0362,0.0586,1.4875,4.18,1.39,1.32
Jul-05,0.28,0.14,0.1,0.11,0.86,0.0046,0.61,0.42,0.8,0.0364,0.0597,1.4886,4.38,1.45,1.28
Aug-05,0.28,0.15,0.1,0.1,0.85,0.0049,0.55,0.41,0.8,0.0364,0.0584,1.5357,4.34,1.5,1.15
Sep-05,0.29,0.16,0.1,0.1,0.85,0.0051,0.56,0.42,0.79,0.0366,0.0584,1.487,4.18,1.52,1.03
Oct-05,0.29,0.17,0.1,0.1,0.85,0.0055,0.59,0.44,0.79,0.0362,0.0567,1.4304,4.08,1.54,1.05
Nov-05,0.28,0.16,0.1,0.1,0.85,0.0055,0.58,0.44,0.82,0.0353,0.0569,1.3201,3.92,1.47,1.13
Dec-05,0.28,0.16,0.1,0.1,0.85,0.0064,0.55,0.43,0.82,0.0346,0.056,1.3382,4.13,1.51,1.24
Jan-06,0.29,0.17,0.1,0.1,0.85,0.0077,0.57,0.42,0.8,0.034,0.0551,1.2311,4.03,1.68,1.4
Feb-06,0.3,0.18,0.1,0.11,0.85,0.0088,0.59,0.44,0.81,0.0337,0.0556,1.2882,4,2.35,1.39
Mar-06,0.3,0.17,0.1,0.11,0.84,0.0084,0.57,0.44,0.8,0.0333,0.054,1.2937,4.62,1.96,1.31
Apr-06,0.3,0.18,0.1,0.11,0.82,0.0086,0.58,0.44,0.8,0.0328,0.0547,1.2337,5.43,1.96,1.33
May-06,0.31,0.19,0.11,0.11,0.82,0.0082,0.58,0.44,0.81,0.0331,0.0547,1.4601,6.17,2.07,1.32
Jun-06,0.31,0.2,0.11,0.11,0.82,0.0075,0.57,0.44,0.8,0.0335,0.054,1.6398,6.68,2.13,1.33
Jul-06,0.32,0.2,0.11,0.11,0.84,0.0077,0.58,0.47,0.8,0.034,0.056,1.5454,6.14,2.15,1.42
Aug-06,0.31,0.19,0.11,0.12,0.92,0.0066,0.61,0.51,0.8,0.0342,0.0571,1.5858,5.83,2.09,1.62
Sep-06,0.31,0.2,0.12,0.12,0.96,0.006,0.61,0.5,0.78,0.0344,0.0571,1.4972,4.72,1.87,1.7
Oct-06,0.3,0.21,0.14,0.14,0.98,0.0057,0.63,0.51,0.78,0.034,0.0573,1.418,4.3,1.74,1.66
Nov-06,0.3,0.21,0.15,0.16,1.09,0.0057,0.66,0.55,0.76,0.0335,0.0591,1.3695,4.31,1.72,1.69
Dec-06,0.3,0.2,0.15,0.16,1.08,0.0057,0.73,0.58,0.73,0.0337,0.0589,1.3358,4.51,1.71,1.69
Jan-07,0.31,0.2,0.15,0.16,1.07,0.0053,0.73,0.6,0.72,0.0346,0.0575,1.3126,4.46,1.7,1.74
Feb-07,0.32,0.2,0.15,0.18,1.04,0.0051,0.76,0.6,0.71,0.0359,0.0578,1.448,4.62,1.65,1.74
Mar-07,0.32,0.2,0.16,0.17,1.04,0.0051,0.77,0.62,0.7,0.037,0.0575,1.3565,4.7,1.63,1.7
Apr-07,0.32,0.2,0.16,0.15,1.06,0.0046,0.83,0.71,0.69,0.0379,0.0571,1.4423,4.78,1.59,1.75
May-07,0.32,0.2,0.16,0.16,1.1,0.0046,0.89,0.77,0.7,0.0386,0.0569,1.6206,4.43,1.55,1.85
